Station,Date,Time,Temp
CCA1,6/12/2002,12:01:20 PM,12.06
CCA1,6/12/2002,1:01:20 PM,12.99
CCA1,6/12/2002,2:01:20 PM,13.61
CCA1,6/12/2002,3:01:20 PM,14.07
CCA1,6/12/2002,4:01:20 PM,14.22
CCA1,6/12/2002,5:01:20 PM,14.22
CCA1,6/12/2002,6:01:20 PM,14.07
CCA1,6/12/2002,7:01:20 PM,13.91
CCA1,6/12/2002,8:01:20 PM,13.61
CCA1,6/12/2002,9:01:20 PM,12.99
CCA1,6/12/2002,10:01:20 PM,12.52
CCA1,6/12/2002,11:01:20 PM,12.06
CCA1,6/13/2002,12:01:20 AM,11.59
CCA1,6/13/2002,1:01:20 AM,11.13
CCA1,6/13/2002,2:01:20 AM,10.82
CCA1,6/13/2002,3:01:20 AM,10.51
CCA1,6/13/2002,4:01:20 AM,10.36
CCA1,6/13/2002,5:01:20 AM,10.20
CCA1,6/13/2002,6:01:20 AM,9.89
CCA1,6/13/2002,7:01:20 AM,9.89
CCA1,6/13/2002,8:01:20 AM,10.04
CCA1,6/13/2002,9:01:20 AM,10.36
CCA1,6/13/2002,10:01:20 AM,10.98
CCA1,6/13/2002,11:01:20 AM,11.59
CCA1,6/13/2002,12:01:20 PM,12.37
CCA1,6/13/2002,1:01:20 PM,13.29
CCA1,6/13/2002,2:01:20 PM,14.07
CCA1,6/13/2002,3:01:20 PM,14.38
CCA1,6/13/2002,4:01:20 PM,14.53
CCA1,6/13/2002,5:01:20 PM,14.53
CCA1,6/13/2002,6:01:20 PM,14.38
CCA1,6/13/2002,7:01:20 PM,14.07
CCA1,6/13/2002,8:01:20 PM,13.76
CCA1,6/13/2002,9:01:20 PM,13.29
CCA1,6/13/2002,10:01:20 PM,12.83
CCA1,6/13/2002,11:01:20 PM,12.37
CCA1,6/14/2002,12:01:20 AM,11.91
CCA1,6/14/2002,1:01:20 AM,11.44
CCA1,6/14/2002,2:01:20 AM,11.13
CCA1,6/14/2002,3:01:20 AM,10.82
CCA1,6/14/2002,4:01:20 AM,10.67
CCA1,6/14/2002,5:01:20 AM,10.36
CCA1,6/14/2002,6:01:20 AM,10.36
CCA1,6/14/2002,7:01:20 AM,10.20
CCA1,6/14/2002,8:01:20 AM,10.36
CCA1,6/14/2002,9:01:20 AM,10.67
CCA1,6/14/2002,10:01:20 AM,11.28
CCA1,6/14/2002,11:01:20 AM,11.91
CCA1,6/14/2002,12:01:20 PM,12.68
CCA1,6/14/2002,1:01:20 PM,13.45
CCA1,6/14/2002,2:01:20 PM,14.22
CCA1,6/14/2002,3:01:20 PM,14.69
CCA1,6/14/2002,4:01:20 PM,15.01
CCA1,6/14/2002,5:01:20 PM,14.84
CCA1,6/14/2002,6:01:20 PM,14.84
CCA1,6/14/2002,7:01:20 PM,14.53
CCA1,6/14/2002,8:01:20 PM,14.22
CCA1,6/14/2002,9:01:20 PM,13.91
CCA1,6/14/2002,10:01:20 PM,13.45
CCA1,6/14/2002,11:01:20 PM,12.83
CCA1,6/15/2002,12:01:20 AM,12.37
CCA1,6/15/2002,1:01:20 AM,12.06
CCA1,6/15/2002,2:01:20 AM,11.75
CCA1,6/15/2002,3:01:20 AM,11.44
CCA1,6/15/2002,4:01:20 AM,11.13
CCA1,6/15/2002,5:01:20 AM,10.98
CCA1,6/15/2002,6:01:20 AM,10.82
CCA1,6/15/2002,7:01:20 AM,10.82
CCA1,6/15/2002,8:01:20 AM,10.98
CCA1,6/15/2002,9:01:20 AM,11.28
CCA1,6/15/2002,10:01:20 AM,11.75
CCA1,6/15/2002,11:01:20 AM,12.37
CCA1,6/15/2002,12:01:20 PM,12.99
CCA1,6/15/2002,1:01:20 PM,13.45
CCA1,6/15/2002,2:01:20 PM,14.07
CCA1,6/15/2002,3:01:20 PM,14.07
CCA1,6/15/2002,4:01:20 PM,14.22
CCA1,6/15/2002,5:01:20 PM,14.22
CCA1,6/15/2002,6:01:20 PM,14.07
CCA1,6/15/2002,7:01:20 PM,13.91
CCA1,6/15/2002,8:01:20 PM,13.45
CCA1,6/15/2002,9:01:20 PM,13.14
CCA1,6/15/2002,10:01:20 PM,12.68
CCA1,6/15/2002,11:01:20 PM,12.22
CCA1,6/16/2002,12:01:20 AM,11.75
CCA1,6/16/2002,1:01:20 AM,11.44
CCA1,6/16/2002,2:01:20 AM,11.13
CCA1,6/16/2002,3:01:20 AM,10.82
CCA1,6/16/2002,4:01:20 AM,10.67
CCA1,6/16/2002,5:01:20 AM,10.51
CCA1,6/16/2002,6:01:20 AM,10.36
CCA1,6/16/2002,7:01:20 AM,10.36
CCA1,6/16/2002,8:01:20 AM,10.36
CCA1,6/16/2002,9:01:20 AM,10.51
CCA1,6/16/2002,10:01:20 AM,10.67
CCA1,6/16/2002,11:01:20 AM,10.98
CCA1,6/16/2002,12:01:20 PM,11.59
CCA1,6/16/2002,1:01:20 PM,12.37
CCA1,6/16/2002,2:01:20 PM,12.37
CCA1,6/16/2002,3:01:20 PM,12.83
CCA1,6/16/2002,4:01:20 PM,13.14
CCA1,6/16/2002,5:01:20 PM,12.99
CCA1,6/16/2002,6:01:20 PM,12.83
CCA1,6/16/2002,7:01:20 PM,12.83
CCA1,6/16/2002,8:01:20 PM,12.52
CCA1,6/16/2002,9:01:20 PM,12.37
CCA1,6/16/2002,10:01:20 PM,11.91
CCA1,6/16/2002,11:01:20 PM,11.59
CCA1,6/17/2002,12:01:20 AM,11.44
CCA1,6/17/2002,1:01:20 AM,11.13
CCA1,6/17/2002,2:01:20 AM,10.98
CCA1,6/17/2002,3:01:20 AM,10.82
CCA1,6/17/2002,4:01:20 AM,10.67
CCA1,6/17/2002,5:01:20 AM,10.67
CCA1,6/17/2002,6:01:20 AM,10.67
CCA1,6/17/2002,7:01:20 AM,10.67
CCA1,6/17/2002,8:01:20 AM,10.67
CCA1,6/17/2002,9:01:20 AM,10.67
CCA1,6/17/2002,10:01:20 AM,10.98
CCA1,6/17/2002,11:01:20 AM,10.98
CCA1,6/17/2002,12:01:20 PM,10.67
CCA1,6/17/2002,1:01:20 PM,10.51
CCA1,6/17/2002,2:01:20 PM,10.51
CCA1,6/17/2002,3:01:20 PM,10.82
CCA1,6/17/2002,4:01:20 PM,10.82
CCA1,6/17/2002,5:01:20 PM,10.51
CCA1,6/17/2002,6:01:20 PM,10.67
CCA1,6/17/2002,7:01:20 PM,10.67
CCA1,6/17/2002,8:01:20 PM,10.51
CCA1,6/17/2002,9:01:20 PM,10.36
CCA1,6/17/2002,10:01:20 PM,10.36
CCA1,6/17/2002,11:01:20 PM,10.20
CCA1,6/18/2002,12:01:20 AM,9.89
CCA1,6/18/2002,1:01:20 AM,9.89
CCA1,6/18/2002,2:01:20 AM,9.73
CCA1,6/18/2002,3:01:20 AM,9.58
CCA1,6/18/2002,4:01:20 AM,9.43
CCA1,6/18/2002,5:01:20 AM,9.27
CCA1,6/18/2002,6:01:20 AM,9.27
CCA1,6/18/2002,7:01:20 AM,9.12
CCA1,6/18/2002,8:01:20 AM,9.27
CCA1,6/18/2002,9:01:20 AM,9.58
CCA1,6/18/2002,10:01:20 AM,9.89
CCA1,6/18/2002,11:01:20 AM,10.04
CCA1,6/18/2002,12:01:20 PM,10.67
CCA1,6/18/2002,1:01:20 PM,11.13
CCA1,6/18/2002,2:01:20 PM,11.75
CCA1,6/18/2002,3:01:20 PM,12.06
CCA1,6/18/2002,4:01:20 PM,12.52
CCA1,6/18/2002,5:01:20 PM,12.52
CCA1,6/18/2002,6:01:20 PM,12.22
CCA1,6/18/2002,7:01:20 PM,12.37
CCA1,6/18/2002,8:01:20 PM,12.06
CCA1,6/18/2002,9:01:20 PM,11.75
CCA1,6/18/2002,10:01:20 PM,11.44
CCA1,6/18/2002,11:01:20 PM,10.98
CCA1,6/19/2002,12:01:20 AM,10.67
CCA1,6/19/2002,1:01:20 AM,10.36
CCA1,6/19/2002,2:01:20 AM,10.04
CCA1,6/19/2002,3:01:20 AM,9.73
CCA1,6/19/2002,4:01:20 AM,9.43
CCA1,6/19/2002,5:01:20 AM,9.27
CCA1,6/19/2002,6:01:20 AM,9.12
CCA1,6/19/2002,7:01:20 AM,9.12
CCA1,6/19/2002,8:01:20 AM,9.27
CCA1,6/19/2002,9:01:20 AM,9.58
CCA1,6/19/2002,10:01:20 AM,10.20
CCA1,6/19/2002,11:01:20 AM,10.82
CCA1,6/19/2002,12:01:20 PM,11.75
CCA1,6/19/2002,1:01:20 PM,12.52
CCA1,6/19/2002,2:01:20 PM,13.29
CCA1,6/19/2002,3:01:20 PM,13.76
CCA1,6/19/2002,4:01:20 PM,14.07
CCA1,6/19/2002,5:01:20 PM,14.07
CCA1,6/19/2002,6:01:20 PM,13.45
CCA1,6/19/2002,7:01:20 PM,12.99
CCA1,6/19/2002,8:01:20 PM,12.83
CCA1,6/19/2002,9:01:20 PM,12.52
CCA1,6/19/2002,10:01:20 PM,12.22
CCA1,6/19/2002,11:01:20 PM,11.91
CCA1,6/20/2002,12:01:20 AM,11.44
CCA1,6/20/2002,1:01:20 AM,11.13
CCA1,6/20/2002,2:01:20 AM,10.82
CCA1,6/20/2002,3:01:20 AM,10.51
CCA1,6/20/2002,4:01:20 AM,10.20
CCA1,6/20/2002,5:01:20 AM,10.04
CCA1,6/20/2002,6:01:20 AM,9.73
CCA1,6/20/2002,7:01:20 AM,9.73
CCA1,6/20/2002,8:01:20 AM,9.89
CCA1,6/20/2002,9:01:20 AM,10.20
CCA1,6/20/2002,10:01:20 AM,10.82
CCA1,6/20/2002,11:01:20 AM,11.44
CCA1,6/20/2002,12:01:20 PM,12.22
CCA1,6/20/2002,1:01:20 PM,13.14
CCA1,6/20/2002,2:01:20 PM,13.76
CCA1,6/20/2002,3:01:20 PM,14.07
CCA1,6/20/2002,4:01:20 PM,14.38
CCA1,6/20/2002,5:01:20 PM,14.22
CCA1,6/20/2002,6:01:20 PM,14.22
CCA1,6/20/2002,7:01:20 PM,14.07
CCA1,6/20/2002,8:01:20 PM,13.76
